,0,1,2
0,Kreutzwald Hotel Tallinn,59.42890599999999,24.7327851
1,Nordic Hotel Forum,59.4374281,24.7550818
2,Hotel Metropol,59.43973159999999,24.7551213
3,Hestia Hotel Europa,59.441444,24.760678
4,Tallinn Seaport Hotel,59.44268169999999,24.7674244
5,L'Ermitage,59.43399429999999,24.7330514
6,GO Hotel Snelli,59.4394651,24.7364266
7,St.Olav Hotel,59.438532,24.743859
8,Savoy Boutique Hotel,59.43509470000001,24.7468305
9,Hotel Swissôtel Tallinn,59.43284939999999,24.761458
10,Pirita Marina Hotel & SPA,59.4655252,24.8243967
11,Rocca al Mare Hotell,59.429854,24.651035
12,Lavendel Spa Hotel,59.506664,24.82689899999999
13,My City Hotel,59.43527659999999,24.7459003
14,Hotel Palace,59.43272380000001,24.7452971
15,Elevant resto,59.4373654,24.7468314
16,Olde Hansa,59.436656,24.745902
17,ibis Tallinn Center,59.42752780000001,24.7647815
18,Mack Bar-B-Que,59.42950559999999,24.7741167
19,Ribe,59.4375228,24.7469984
20,Kreutzwald Hotel Tallinn,59.42890599999999,24.7327851
21,Nordic Hotel Forum,59.4374281,24.7550818
22,Hotel Metropol,59.43973159999999,24.7551213
23,Hestia Hotel Europa,59.441444,24.760678
24,Tallinn Seaport Hotel,59.44268169999999,24.7674244
25,L'Ermitage,59.43399429999999,24.7330514
26,St.Olav Hotel,59.438532,24.743859
27,GO Hotel Snelli,59.4394651,24.7364266
28,Savoy Boutique Hotel,59.43509470000001,24.7468305
29,Lavendel Spa Hotel,59.506664,24.82689899999999
30,Hotel Swissôtel Tallinn,59.43284939999999,24.761458
31,Tallinn Viimsi SPA,59.5079678,24.8297122
32,Pirita Marina Hotel & SPA,59.4655252,24.8243967
33,My City Hotel,59.43527659999999,24.7459003
34,Hotel Palace,59.43272380000001,24.7452971
35,Elevant resto,59.4373654,24.7468314
36,Olde Hansa,59.436656,24.745902
37,ibis Tallinn Center,59.42752780000001,24.7647815
38,Mack Bar-B-Que,59.42950559999999,24.7741167
39,Ribe,59.4375228,24.7469984
40,Lavendel Spa Hotel,59.506664,24.82689899999999
41,Tallinn Viimsi SPA,59.5079678,24.8297122
42,Pirita Marina Hotel & SPA,59.4655252,24.8243967
43,Tallinn Seaport Hotel,59.44268169999999,24.7674244
44,Hestia Hotel Europa,59.441444,24.760678
45,Villa Mary Boutique Hotel,59.5564995,24.7931386
46,St. Patrick's,59.4718372,24.8315062
47,China Red,59.5069257,24.825087
48,Paat,59.5255249,24.7973646
49,Chedi,59.440368,24.748098
50,Viimsi Talveaed,59.54172670000001,24.79966539999999
51,OKO Resto Haabneemes,59.5110703,24.8154197
52,Neste,59.50469,24.829405
53,Jussikas,59.49852860000001,24.8298998
54,Sushi Plaza Viimsi,59.5046741,24.8270454
55,Viimsi Rimi hyper,59.505616,24.828235
56,Chi,59.50480259999999,24.8274975
57,Hesburger,59.5047597,24.8275496
58,Burger Kitchen,59.5064191,24.8318089
59,Viimsi Pizzakiosk,59.5064191,24.8318089
60,Kreutzwald Hotel Tallinn,59.42890599999999,24.7327851
61,Nordic Hotel Forum,59.4374281,24.7550818
62,Hotel Metropol,59.43973159999999,24.7551213
63,Hestia Hotel Europa,59.441444,24.760678
64,Tallinn Seaport Hotel,59.44268169999999,24.7674244
65,L'Ermitage,59.43399429999999,24.7330514
66,GO Hotel Snelli,59.4394651,24.7364266
67,St.Olav Hotel,59.438532,24.743859
68,Savoy Boutique Hotel,59.43509470000001,24.7468305
69,Hotel Swissôtel Tallinn,59.43284939999999,24.761458
70,Pirita Marina Hotel & SPA,59.4655252,24.8243967
71,Rocca al Mare Hotell,59.429854,24.651035
72,Lavendel Spa Hotel,59.506664,24.82689899999999
73,My City Hotel,59.43527659999999,24.7459003
74,Hotel Palace,59.43272380000001,24.7452971
75,Elevant resto,59.4373654,24.7468314
76,Olde Hansa,59.436656,24.745902
77,ibis Tallinn Center,59.42752780000001,24.7647815
78,Mack Bar-B-Que,59.42950559999999,24.7741167
79,Ribe,59.4375228,24.7469984
80,Kreutzwald Hotel Tallinn,59.42890599999999,24.7327851
81,Nordic Hotel Forum,59.4374281,24.7550818
82,Hotel Metropol,59.43973159999999,24.7551213
83,Hestia Hotel Europa,59.441444,24.760678
84,Tallinn Seaport Hotel,59.44268169999999,24.7674244
85,L'Ermitage,59.43399429999999,24.7330514
86,St.Olav Hotel,59.438532,24.743859
87,GO Hotel Snelli,59.4394651,24.7364266
88,Savoy Boutique Hotel,59.43509470000001,24.7468305
89,Lavendel Spa Hotel,59.506664,24.82689899999999
90,Hotel Swissôtel Tallinn,59.43284939999999,24.761458
91,Tallinn Viimsi SPA,59.5079678,24.8297122
92,Pirita Marina Hotel & SPA,59.4655252,24.8243967
93,My City Hotel,59.43527659999999,24.7459003
94,Hotel Palace,59.43272380000001,24.7452971
95,Elevant resto,59.4373654,24.7468314
96,Olde Hansa,59.436656,24.745902
97,ibis Tallinn Center,59.42752780000001,24.7647815
98,Mack Bar-B-Que,59.42950559999999,24.7741167
99,Ribe,59.4375228,24.7469984
100,Pirita Marina Hotel & SPA,59.4655252,24.8243967
101,Tallinn Seaport Hotel,59.44268169999999,24.7674244
102,St. Patrick's,59.4718372,24.8315062
103,Mack Bar-B-Que,59.42950559999999,24.7741167
104,ibis Tallinn Center,59.42752780000001,24.7647815
105,Reval Vara OÜ,59.43504910000001,24.8428138
106,Villa Thai Restaurant,59.438219,24.774622
107,Bob King OÜ,59.4296464,24.7741705
108,NewYork Pizza Lasnamäe,59.44996620000001,24.8799885
109,Toit's,59.4218006,24.7922823
110,Ventura Cafe,59.4450766,24.8812217
111,Hesburger,59.4458255,24.8964782
112,Lasnamäe Centrumi Rimi hyper,59.4400937,24.8632378
113,Neste,59.45081159999999,24.8610901
114,Sileri Söök,59.42972959999999,24.8421736
115,Laagna Rimi mini,59.4395367,24.8440799
116,Neste,59.443037,24.8651439
117,Kikase söögituba,59.43381309999999,24.9466324
118,Ventus Roasting OÜ,59.434772,24.9472681
119,Kärberi Rimi mini,59.44593399999999,24.8886181
120,Peetri Pizza,59.4733812,25.0191903
121,Ventus Roasting OÜ,59.434772,24.9472681
122,Kikase söögituba,59.43381309999999,24.9466324
123,Maardu Rimi mini,59.484195,25.017259
124,Kolm Juustu,59.366626,25.0816721
125,Sillburger Vana-Narva mnt,59.4616,24.9173731
126,Hesburger,59.4458255,24.8964782
127,Pärnamäe Rimi super,59.4619101,24.9051709
128,NewYork Pizza Lasnamäe,59.44996620000001,24.8799885
129,Kärberi Rimi mini,59.44593399999999,24.8886181
130,Ventura Cafe,59.4450766,24.8812217
131,GRABLI Cafe-Resto,59.44489170000001,24.8800535
132,Neste,59.4372036,24.8742749
133,Neste,59.443037,24.8651439
134,Maardu Grill,59.4726296,25.0195584
135,Söökla,59.47350269999999,25.0138511
136,EKE SÖÖKLA,59.4537244,24.9588487
137,Fortuna Stardi 2 Maardu,59.47657700000001,25.017305
138,Cafe 26,59.45474720000001,24.9532304
139,TULI Catering,59.4033108,24.9436419
140,Kolm Juustu,59.366626,25.0816721
141,Peetri Pizza,59.4733812,25.0191903
142,Maardu Rimi mini,59.484195,25.017259
143,Jägala grill,59.41345740000001,25.2376919
144,Maardu Grill,59.4726296,25.0195584
145,Söökla,59.47350269999999,25.0138511
146,Fortuna Stardi 2 Maardu,59.47657700000001,25.017305
147,Veer - Kitchen & Bar,59.50579790000002,25.0882228
148,Little Japan Sushi,59.4868572,25.0194586
149,Sky Sushi OÜ,59.4878454,25.0199629
150,Hesburger,59.4873402,25.0186412
151,"Leisure Center ""Valkla Beach""",59.4935877,25.3497207
152,Valkla rannaresto,59.49344110000001,25.35047729999999
153,Pootsmani Suvekohvik,59.51786509999999,25.2741969
154,Jägala grill,59.41345740000001,25.2376919
155,Arturi Kiiu šašlõkibaar,59.4473688,25.3748801
156,Capri Pitsakohvik,59.44521200000001,25.433298
157,"Leisure Center ""Valkla Beach""",59.4935877,25.3497207
158,Valkla rannaresto,59.49344110000001,25.35047729999999
159,Arturi Kiiu šašlõkibaar,59.4473688,25.3748801
160,"""PORK"", BURGER& KEBAB&GRILL",59.4512531,25.4323474
161,Jägala grill,59.41345740000001,25.2376919
162,Capri Pitsakohvik,59.44521200000001,25.433298
163,"Leisure Center ""Valkla Beach""",59.4935877,25.3497207
164,Valkla rannaresto,59.49344110000001,25.35047729999999
165,"""PORK"", BURGER& KEBAB&GRILL",59.4512531,25.4323474
166,Arturi Kiiu šašlõkibaar,59.4473688,25.3748801
167,Capri Pitsakohvik,59.44521200000001,25.433298
168,"""PORK"", BURGER& KEBAB&GRILL",59.4512531,25.4323474
169,Arturi Kiiu šašlõkibaar,59.4473688,25.3748801
170,Lavendel Spa Hotel,59.506664,24.82689899999999
171,Tallinn Viimsi SPA,59.5079678,24.8297122
172,Pirita Marina Hotel & SPA,59.4655252,24.8243967
173,Tallinn Seaport Hotel,59.44268169999999,24.7674244
174,Hestia Hotel Europa,59.441444,24.760678
175,Villa Mary Boutique Hotel,59.5564995,24.7931386
176,St. Patrick's,59.4718372,24.8315062
177,China Red,59.5069257,24.825087
178,Paat,59.5255249,24.7973646
179,Chedi,59.440368,24.748098
180,Viimsi Talveaed,59.54172670000001,24.79966539999999
181,OKO Resto Haabneemes,59.5110703,24.8154197
182,Neste,59.50469,24.829405
183,Jussikas,59.49852860000001,24.8298998
184,Sushi Plaza Viimsi,59.5046741,24.8270454
185,Viimsi Rimi hyper,59.505616,24.828235
186,Chi,59.50480259999999,24.8274975
187,Hesburger,59.5047597,24.8275496
188,Burger Kitchen,59.5064191,24.8318089
189,Viimsi Pizzakiosk,59.5064191,24.8318089
190,Lavendel Spa Hotel,59.506664,24.82689899999999
191,Tallinn Viimsi SPA,59.5079678,24.8297122
192,Pirita Marina Hotel & SPA,59.4655252,24.8243967
193,Villa Mary Boutique Hotel,59.5564995,24.7931386
194,St. Patrick's,59.4718372,24.8315062
195,China Red,59.5069257,24.825087
196,Ecoland Restaurant,59.491239,24.879201
197,Paat,59.5255249,24.7973646
198,Jussikas,59.49852860000001,24.8298998
199,Neste,59.50469,24.829405
200,Viimsi Talveaed,59.54172670000001,24.79966539999999
201,OKO Resto Haabneemes,59.5110703,24.8154197
202,Burger Kitchen,59.5064191,24.8318089
203,Viimsi Pizzakiosk,59.5064191,24.8318089
204,Viimsi Rimi hyper,59.505616,24.828235
205,Chi,59.50480259999999,24.8274975
206,Hesburger,59.5047597,24.8275496
207,Sushi Plaza Viimsi,59.5046741,24.8270454
208,Ecolandi restoran,59.4912522,24.8787978
209,NOA Restaurant,59.4949142,24.8266289
210,Lavendel Spa Hotel,59.506664,24.82689899999999
211,Tallinn Viimsi SPA,59.5079678,24.8297122
212,Villa Mary Boutique Hotel,59.5564995,24.7931386
213,Pirita Marina Hotel & SPA,59.4655252,24.8243967
214,St. Patrick's,59.4718372,24.8315062
215,Ecoland Restaurant,59.491239,24.879201
216,China Red,59.5069257,24.825087
217,Ecolandi restoran,59.4912522,24.8787978
218,Neste,59.50469,24.829405
219,Burger Kitchen,59.5064191,24.8318089
220,Viimsi Pizzakiosk,59.5064191,24.8318089
221,Maardu Rimi mini,59.484195,25.017259
222,Viimsi Rimi hyper,59.505616,24.828235
223,Jussikas,59.49852860000001,24.8298998
224,Hesburger,59.5047597,24.8275496
225,Chi,59.50480259999999,24.8274975
226,Sushi Plaza Viimsi,59.5046741,24.8270454
227,OKO Resto Haabneemes,59.5110703,24.8154197
228,NOA Restaurant,59.4949142,24.8266289
229,Sillburger Vana-Narva mnt,59.4616,24.9173731
230,Maardu Rimi mini,59.484195,25.017259
231,Peetri Pizza,59.4733812,25.0191903
232,Ruhe Restaurant,59.53081599999999,25.1609552
233,Veer - Kitchen & Bar,59.50579790000002,25.0882228
234,Sky Sushi OÜ,59.4878454,25.0199629
235,Hesburger,59.4873402,25.0186412
236,Little Japan Sushi,59.4868572,25.0194586
237,Fortuna Stardi 2 Maardu,59.47657700000001,25.017305
238,Söökla,59.47350269999999,25.0138511
239,Maardu Grill,59.4726296,25.0195584
240,LaFerma,59.4696572,24.9307415
241,Novell,59.47469859999999,24.9161996
242,EKE SÖÖKLA,59.4537244,24.9588487
243,Cafe 26,59.45474720000001,24.9532304
244,Villa Mary Boutique Hotel,59.5564995,24.7931386
245,Villa Mary Boutique Hotel,59.5564995,24.7931386
246,Prangli Saare-Resto,59.633456,25.01852899999999
247,Prangli Saare-Resto,59.633456,25.01852899999999
