,Latitude,Longtitude
0,59.444634,24.712613
1,59.444604,24.712371
2,59.444547,24.712132
3,59.444491,24.711938
4,59.444425,24.711679
5,59.444398,24.711571
6,59.444301,24.711611
7,59.444100,24.711779
8,59.443953,24.711863
9,59.443807,24.711947
10,59.443514,24.712152
11,59.44336,24.712236
12,59.442818,24.712668
13,59.442687,24.712700
14,59.442556,24.712862
15,59.442392,24.713039
16,59.442154,24.713039
17,59.441957,24.713007
18,59.441700,24.713269
19,59.441564,24.713420
20,59.441415,24.713563
21,59.441284,24.713696
22,59.441130,24.713821
23,59.440994,24.713981
24,59.440849,24.714106
25,59.440704,24.714257
26,59.440582,24.714381
27,59.440510,24.714453
28,59.440204,24.714711
29,59.439964,24.714947
30,59.439324,24.715647
31,59.438937,24.716057
32,59.438578,24.716443
33,59.438289,24.716716
34,59.438040,24.716989
35,59.437670,24.717478
36,59.43745,24.717796
37,59.437248,24.718126
38,59.437167,24.718274
39,59.436989,24.718572
40,59.436869,24.718732
41,59.436738,24.718947
42,59.436613,24.719140
43,59.436438,24.719408
44,59.436306,24.719605
45,59.436188,24.719786
46,59.436075,24.719951
47,59.435927,24.720178
48,59.435657,24.719598
49,59.435454,24.719427
50,59.435164,24.719256
51,59.435142,24.719228
52,59.434809,24.718986
53,59.434447,24.718658
54,59.434200,24.718530
55,59.433729,24.718173
56,59.433200,24.717737
57,59.432883,24.716557
58,59.432643,24.716278
59,59.432414,24.716642
60,59.431449,24.717672
61,59.431069,24.717996
62,59.430796,24.718151
63,59.430129,24.718659
64,59.429583,24.718998
65,59.429009,24.719506
66,59.428607,24.719788
67,59.427897,24.720071
68,59.427280,24.720020
69,59.427280,24.720622
70,59.426903,24.721109
71,59.426265,24.721845